pc_datetime,elapsed_ms,record_type,ibi_bpm,ibi_quality,ibi_relation,corr_bpm,corr_quality,corr_strength,corr_relation,spectral_bpm,spectral_raw_bpm,spectral_quality,spectral_dominance,second_harmonic_ratio,spectral_relation,fused_bpm,fusion_confidence,methods_agree,fusion_valid,harmonic_suspect,harmonic_resolved,fusion_score,hybrid_samples,analysis_cpu_us,analysis_max_cpu_us,slice_us,slice_max_us,cycle_elapsed_ms,sample_gap_max_ms,serial_line
2026-08-25T00:53:06.614,52300,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2252 dc=2266.0 ac=-4.7 ppg=-8.4 env=24.3 noise=3.1 snr=6.83 bpmIBI=79 fused=81 valid=YES
2026-08-25T00:53:07.086,52772,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[PULSE] #72 state=TRACKING bpmIBI=79 ibi=801 accepted=YES peak=80.4 prom=119.2
2026-08-25T00:53:07.108,52794,HYBRID,78,81,1x,81,93,81.0,1x,80,81,73,10.8,0.6,1x,80,88,3,1,0,0,233.3,200,72207,72282,691,2456,361,11,[HYBRID] IBI=78 Q=81 REL=1x | CORR=81 Q=93 R=0.86 REL=1x | SPEC=80 RAW=81 Q=73 DOM=10.8 H2=0.60 REL=1x | FUSED=80 Q=88 METHODS=3 VALID=YES HARMONIC=NO RESOLVED=NO SCORE=233.3 SAMPLES=200 CPU=72207us MAXCPU=72282us SLICE=691us MAXSLICE=2456us CYCLE=361ms GAPMAX=11ms
2026-08-25T00:53:07.115,52801,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2296 dc=2268.1 ac=+48.8 ppg=+47.2 env=39.8 noise=4.8 snr=7.59 bpmIBI=78 fused=80 valid=YES
2026-08-25T00:53:07.615,53301,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2223 dc=2262.1 ac=-40.7 ppg=-25.3 env=28.0 noise=2.1 snr=10.86 bpmIBI=78 fused=80 valid=YES
2026-08-25T00:53:07.846,53532,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[PULSE] #73 state=TRACKING bpmIBI=78 ibi=740 accepted=YES peak=65.0 prom=106.2
2026-08-25T00:53:08.108,53793,HYBRID,78,81,1x,79,100,79.0,1x,79,79,79,11.4,0.63,1x,79,94,3,1,0,0,252.0,200,72177,72282,685,2456,360,11,[HYBRID] IBI=78 Q=81 REL=1x | CORR=79 Q=100 R=0.91 REL=1x | SPEC=79 RAW=79 Q=79 DOM=11.4 H2=0.63 REL=1x | FUSED=79 Q=94 METHODS=3 VALID=YES HARMONIC=NO RESOLVED=NO SCORE=252.0 SAMPLES=200 CPU=72177us MAXCPU=72282us SLICE=685us MAXSLICE=2456us CYCLE=360ms GAPMAX=11ms
2026-08-25T00:53:08.115,53801,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2253 dc=2262.3 ac=-10.6 ppg=-7.8 env=28.5 noise=3.5 snr=7.06 bpmIBI=78 fused=79 valid=YES
2026-08-25T00:53:08.554,54240,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[PULSE] #74 state=TRACKING bpmIBI=78 ibi=720 accepted=YES peak=91.8 prom=134.1
2026-08-25T00:53:08.615,54301,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2253 dc=2265.2 ac=+22.5 ppg=+33.6 env=45.2 noise=6.5 snr=6.48 bpmIBI=79 fused=79 valid=YES
2026-08-25T00:53:09.109,54794,HYBRID,79,80,1x,79,100,79.0,1x,78,79,77,11.2,0.67,1x,79,95,3,1,0,0,253.6,200,72045,72282,688,2456,361,11,[HYBRID] IBI=79 Q=80 REL=1x | CORR=79 Q=100 R=0.92 REL=1x | SPEC=78 RAW=79 Q=77 DOM=11.2 H2=0.67 REL=1x | FUSED=79 Q=95 METHODS=3 VALID=YES HARMONIC=NO RESOLVED=NO SCORE=253.6 SAMPLES=200 CPU=72045us MAXCPU=72282us SLICE=688us MAXSLICE=2456us CYCLE=361ms GAPMAX=11ms
2026-08-25T00:53:09.116,54802,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2272 dc=2260.2 ac=-9.0 ppg=-9.0 env=24.1 noise=2.3 snr=8.68 bpmIBI=79 fused=79 valid=YES
2026-08-25T00:53:09.285,54971,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[PULSE] #75 state=TRACKING bpmIBI=79 ibi=731 accepted=YES peak=108.1 prom=137.6
2026-08-25T00:53:09.616,55302,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2254 dc=2266.2 ac=-5.5 ppg=-11.5 env=26.8 noise=3.5 snr=6.72 bpmIBI=79 fused=79 valid=YES
2026-08-25T00:53:10.027,55713,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[PULSE] #76 state=TRACKING bpmIBI=79 ibi=750 accepted=YES peak=106.9 prom=137.5
2026-08-25T00:53:10.108,55794,HYBRID,79,79,1x,79,100,79.0,1x,78,79,75,11.0,0.67,1x,79,94,3,1,0,0,250.7,200,72207,72282,696,2456,360,11,[HYBRID] IBI=79 Q=79 REL=1x | CORR=79 Q=100 R=0.92 REL=1x | SPEC=78 RAW=79 Q=75 DOM=11.0 H2=0.67 REL=1x | FUSED=79 Q=94 METHODS=3 VALID=YES HARMONIC=NO RESOLVED=NO SCORE=250.7 SAMPLES=200 CPU=72207us MAXCPU=72282us SLICE=696us MAXSLICE=2456us CYCLE=360ms GAPMAX=11ms
2026-08-25T00:53:10.116,55802,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2223 dc=2270.7 ac=-17.2 ppg=-6.1 env=43.5 noise=8.2 snr=4.97 bpmIBI=79 fused=79 valid=YES
2026-08-25T00:53:10.616,56302,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2238 dc=2264.6 ac=-29.3 ppg=-16.4 env=28.3 noise=1.5 snr=13.88 bpmIBI=79 fused=79 valid=YES
2026-08-25T00:53:10.807,56493,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[PULSE] #77 state=TRACKING bpmIBI=79 ibi=780 accepted=YES peak=108.1 prom=149.0
2026-08-25T00:53:11.110,56795,HYBRID,79,81,1x,79,100,79.0,1x,79,79,75,11.0,0.59,1x,79,95,3,1,0,0,256.0,200,72160,72282,684,2456,361,11,[HYBRID] IBI=79 Q=81 REL=1x | CORR=79 Q=100 R=0.92 REL=1x | SPEC=79 RAW=79 Q=75 DOM=11.0 H2=0.59 REL=1x | FUSED=79 Q=95 METHODS=3 VALID=YES HARMONIC=NO RESOLVED=NO SCORE=256.0 SAMPLES=200 CPU=72160us MAXCPU=72282us SLICE=684us MAXSLICE=2456us CYCLE=361ms GAPMAX=11ms
2026-08-25T00:53:11.117,56803,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2264 dc=2269.9 ac=-6.7 ppg=-16.1 env=31.1 noise=3.6 snr=7.64 bpmIBI=79 fused=79 valid=YES
2026-08-25T00:53:11.617,57303,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2328 dc=2271.2 ac=+75.7 ppg=+64.8 env=40.0 noise=4.6 snr=7.82 bpmIBI=79 fused=79 valid=YES
2026-08-25T00:53:11.626,57312,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[PULSE] #78 state=TRACKING bpmIBI=79 ibi=821 accepted=YES peak=84.7 prom=116.5
2026-08-25T00:53:12.109,57795,HYBRID,79,79,1x,78,100,78.0,1x,79,79,75,11.0,0.6,1x,79,93,3,1,0,0,249.6,200,72150,72282,701,2456,360,11,[HYBRID] IBI=79 Q=79 REL=1x | CORR=78 Q=100 R=0.91 REL=1x | SPEC=79 RAW=79 Q=75 DOM=11.0 H2=0.60 REL=1x | FUSED=79 Q=93 METHODS=3 VALID=YES HARMONIC=NO RESOLVED=NO SCORE=249.6 SAMPLES=200 CPU=72150us MAXCPU=72282us SLICE=701us MAXSLICE=2456us CYCLE=360ms GAPMAX=11ms
2026-08-25T00:53:12.117,57803,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2221 dc=2265.3 ac=-42.8 ppg=-24.2 env=30.5 noise=2.2 snr=11.49 bpmIBI=79 fused=79 valid=YES
2026-08-25T00:53:12.416,58102,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[PULSE] #79 state=TRACKING bpmIBI=79 ibi=780 accepted=YES peak=75.0 prom=119.4
2026-08-25T00:53:12.617,58303,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2253 dc=2264.4 ac=-28.9 ppg=-31.5 env=39.6 noise=5.7 snr=6.34 bpmIBI=79 fused=79 valid=YES
2026-08-25T00:53:13.111,58797,HYBRID,79,79,1x,78,100,78.0,1x,80,79,71,10.6,0.59,1x,79,91,3,1,0,0,242.4,200,72181,72282,700,2456,361,11,[HYBRID] IBI=79 Q=79 REL=1x | CORR=78 Q=100 R=0.90 REL=1x | SPEC=80 RAW=79 Q=71 DOM=10.6 H2=0.59 REL=1x | FUSED=79 Q=91 METHODS=3 VALID=YES HARMONIC=NO RESOLVED=NO SCORE=242.4 SAMPLES=200 CPU=72181us MAXCPU=72282us SLICE=700us MAXSLICE=2456us CYCLE=361ms GAPMAX=11ms
2026-08-25T00:53:13.119,58804,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2365 dc=2262.9 ac=+87.5 ppg=+65.7 env=37.1 noise=6.3 snr=5.45 bpmIBI=79 fused=79 valid=YES
2026-08-25T00:53:13.177,58863,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[PULSE] #80 state=TRACKING bpmIBI=79 ibi=761 accepted=YES peak=89.7 prom=144.6
2026-08-25T00:53:13.618,59304,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2235 dc=2261.5 ac=-26.7 ppg=-13.8 env=22.4 noise=3.6 snr=5.46 bpmIBI=79 fused=79 valid=YES
2026-08-25T00:53:13.929,59615,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[PULSE] #81 state=TRACKING bpmIBI=79 ibi=750 accepted=YES peak=100.4 prom=138.4
2026-08-25T00:53:14.111,59797,HYBRID,78,80,1x,79,100,79.0,1x,79,79,68,10.2,0.54,1x,79,90,3,1,0,0,240.5,200,72149,72282,700,2456,360,11,[HYBRID] IBI=78 Q=80 REL=1x | CORR=79 Q=100 R=0.90 REL=1x | SPEC=79 RAW=79 Q=68 DOM=10.2 H2=0.54 REL=1x | FUSED=79 Q=90 METHODS=3 VALID=YES HARMONIC=NO RESOLVED=NO SCORE=240.5 SAMPLES=200 CPU=72149us MAXCPU=72282us SLICE=700us MAXSLICE=2456us CYCLE=360ms GAPMAX=11ms
2026-08-25T00:53:14.118,59804,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2249 dc=2265.0 ac=-24.1 ppg=-37.8 env=37.2 noise=5.7 snr=5.97 bpmIBI=78 fused=79 valid=YES
2026-08-25T00:53:14.618,60304,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2376 dc=2265.5 ac=+96.5 ppg=+64.6 env=35.1 noise=6.3 snr=5.18 bpmIBI=78 fused=79 valid=YES
2026-08-25T00:53:14.677,60363,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[PULSE] #82 state=TRACKING bpmIBI=78 ibi=740 accepted=YES peak=97.6 prom=135.1
2026-08-25T00:53:15.111,60797,HYBRID,78,81,1x,79,100,79.0,1x,78,79,68,10.1,0.6,1x,78,92,3,1,0,0,244.5,200,72183,72282,694,2456,361,11,[HYBRID] IBI=78 Q=81 REL=1x | CORR=79 Q=100 R=0.92 REL=1x | SPEC=78 RAW=79 Q=68 DOM=10.1 H2=0.60 REL=1x | FUSED=78 Q=92 METHODS=3 VALID=YES HARMONIC=NO RESOLVED=NO SCORE=244.5 SAMPLES=200 CPU=72183us MAXCPU=72282us SLICE=694us MAXSLICE=2456us CYCLE=361ms GAPMAX=11ms
2026-08-25T00:53:15.119,60805,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2236 dc=2264.8 ac=-26.0 ppg=-18.2 env=23.7 noise=2.6 snr=7.72 bpmIBI=78 fused=78 valid=YES
2026-08-25T00:53:15.428,61114,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[PULSE] #83 state=TRACKING bpmIBI=78 ibi=761 accepted=YES peak=97.1 prom=133.1
2026-08-25T00:53:15.619,61305,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2249 dc=2268.6 ac=-26.3 ppg=-37.9 env=36.6 noise=5.0 snr=6.66 bpmIBI=78 fused=78 valid=YES
2026-08-25T00:53:16.112,61798,HYBRID,78,81,1x,79,100,79.0,1x,78,77,76,11.1,0.69,1x,78,94,3,1,0,0,252.5,200,72184,72282,683,2456,360,11,[HYBRID] IBI=78 Q=81 REL=1x | CORR=79 Q=100 R=0.94 REL=1x | SPEC=78 RAW=77 Q=76 DOM=11.1 H2=0.69 REL=1x | FUSED=78 Q=94 METHODS=3 VALID=YES HARMONIC=NO RESOLVED=NO SCORE=252.5 SAMPLES=200 CPU=72184us MAXCPU=72282us SLICE=683us MAXSLICE=2456us CYCLE=360ms GAPMAX=11ms
2026-08-25T00:53:16.120,61806,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2332 dc=2269.3 ac=+73.0 ppg=+57.8 env=34.5 noise=4.8 snr=6.56 bpmIBI=78 fused=78 valid=YES
2026-08-25T00:53:16.138,61824,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[PULSE] #84 state=TRACKING bpmIBI=78 ibi=710 accepted=YES peak=76.7 prom=108.4
2026-08-25T00:53:16.619,62305,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2231 dc=2262.7 ac=-31.0 ppg=-11.5 env=31.3 noise=2.0 snr=12.33 bpmIBI=79 fused=79 valid=YES
2026-08-25T00:53:16.871,62557,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[PULSE] #85 state=TRACKING bpmIBI=79 ibi=720 accepted=YES peak=85.1 prom=145.1
2026-08-25T00:53:17.113,62798,HYBRID,80,83,1x,79,100,79.0,1x,78,77,72,10.6,0.7,1x,79,91,3,1,0,0,244.3,200,72198,72282,695,2456,361,11,[HYBRID] IBI=80 Q=83 REL=1x | CORR=79 Q=100 R=0.93 REL=1x | SPEC=78 RAW=77 Q=72 DOM=10.6 H2=0.70 REL=1x | FUSED=79 Q=91 METHODS=3 VALID=YES HARMONIC=NO RESOLVED=NO SCORE=244.3 SAMPLES=200 CPU=72198us MAXCPU=72282us SLICE=695us MAXSLICE=2456us CYCLE=361ms GAPMAX=11ms
2026-08-25T00:53:17.121,62806,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2254 dc=2264.5 ac=-12.8 ppg=-18.5 env=34.5 noise=4.4 snr=7.05 bpmIBI=80 fused=79 valid=YES
2026-08-25T00:53:17.579,63265,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[PULSE] #86 state=TRACKING bpmIBI=80 ibi=721 accepted=YES peak=103.1 prom=144.2
2026-08-25T00:53:17.620,63306,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2286 dc=2268.8 ac=+49.8 ppg=+51.6 env=49.7 noise=6.5 snr=7.12 bpmIBI=81 fused=79 valid=YES
2026-08-25T00:53:18.113,63799,HYBRID,81,84,1x,79,100,79.0,1x,79,79,70,10.4,0.65,1x,80,92,3,1,0,0,246.6,200,72164,72282,690,2456,360,11,[HYBRID] IBI=81 Q=84 REL=1x | CORR=79 Q=100 R=0.90 REL=1x | SPEC=79 RAW=79 Q=70 DOM=10.4 H2=0.65 REL=1x | FUSED=80 Q=92 METHODS=3 VALID=YES HARMONIC=NO RESOLVED=NO SCORE=246.6 SAMPLES=200 CPU=72164us MAXCPU=72282us SLICE=690us MAXSLICE=2456us CYCLE=360ms GAPMAX=11ms
2026-08-25T00:53:18.121,63806,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2224 dc=2263.6 ac=-35.3 ppg=-20.6 env=26.5 noise=1.8 snr=11.71 bpmIBI=81 fused=80 valid=YES
2026-08-25T00:53:18.329,64015,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[PULSE] #87 state=TRACKING bpmIBI=81 ibi=750 accepted=YES peak=110.7 prom=146.0
2026-08-25T00:53:18.620,64306,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2254 dc=2268.8 ac=-8.5 ppg=-16.6 env=31.9 noise=4.2 snr=6.78 bpmIBI=82 fused=80 valid=YES
2026-08-25T00:53:19.082,64768,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[PULSE] #88 state=TRACKING bpmIBI=82 ibi=761 accepted=YES peak=103.9 prom=147.9
2026-08-25T00:53:19.114,64799,HYBRID,81,82,1x,80,100,80.0,1x,81,81,73,10.8,0.67,1x,81,94,3,1,0,0,250.7,200,72205,72282,693,2456,361,11,[HYBRID] IBI=81 Q=82 REL=1x | CORR=80 Q=100 R=0.92 REL=1x | SPEC=81 RAW=81 Q=73 DOM=10.8 H2=0.67 REL=1x | FUSED=81 Q=94 METHODS=3 VALID=YES HARMONIC=NO RESOLVED=NO SCORE=250.7 SAMPLES=200 CPU=72205us MAXCPU=72282us SLICE=693us MAXSLICE=2456us CYCLE=361ms GAPMAX=11ms
2026-08-25T00:53:19.121,64807,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2280 dc=2271.7 ac=+44.8 ppg=+50.4 env=49.5 noise=7.0 snr=6.63 bpmIBI=81 fused=81 valid=YES
2026-08-25T00:53:19.621,65307,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=TRACKING contact=YES motion=NO raw=2238 dc=2265.6 ac=-29.3 ppg=-16.9 env=28.5 noise=1.7 snr=12.84 bpmIBI=81 fused=81 valid=YES
2026-08-25T00:53:19.822,65508,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[PULSE] #89 state=TRACKING bpmIBI=81 ibi=740 accepted=YES peak=84.7 prom=122.8
